data_kind,scenario,ambient_temp_c,humidity,heat_index,mq135_relative,rain_1h,rain_24h,rain_72h,intensity,trend,label,label_name
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,heat_wave,39.69,59.82,47.38,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,42.04,64.46,51.62,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,41.95,66.88,52.31,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,42.99,64.59,52.76,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,41.83,72.84,54.14,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.34,70.04,51.5,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.64,57.04,47.56,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,42.96,64.68,52.75,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,43.85,61.44,52.7,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,38.5,65.86,48.0,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,42.94,59.78,51.11,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.93,64.3,50.28,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,39.05,71.99,50.66,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,38.97,67.28,49.02,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,43.92,69.13,55.32,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,43.93,64.66,53.86,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.34,71.44,51.97,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,41.61,65.61,51.5,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,39.17,71.78,50.73,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,41.2,65.75,51.07,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.25,59.76,48.01,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.55,68.06,51.09,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,40.19,72.8,52.24,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,43.02,62.01,51.94,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,heat_wave,39.11,74.38,51.52,1.2,0.0,2.0,10.0,0.0,0.5,2,HIGH
DEMO DATA,pollution,32.0,55.0,36.95,2.23,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.866,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.193,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.13,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.668,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.598,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.262,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.863,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.164,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.671,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.091,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.275,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.433,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.429,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.924,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.037,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.371,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.512,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.187,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.595,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.656,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.302,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.672,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,2.443,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,pollution,32.0,55.0,36.95,3.071,0.0,5.0,15.0,0.0,0.0,1,WATCH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,15.02,101.76,164.34,12.85,6.96,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,15.86,102.17,156.88,16.67,7.68,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,8.06,102.64,217.89,19.77,3.93,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,10.68,115.5,151.6,12.58,6.29,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,9.66,107.71,164.16,24.82,4.61,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,9.81,78.87,165.06,23.34,5.28,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,12.13,102.45,217.77,15.78,7.82,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,17.98,85.48,211.27,11.57,5.25,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,9.22,89.9,174.76,19.77,7.28,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,14.29,103.73,153.36,13.13,3.06,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,13.18,102.29,178.32,21.4,6.78,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,14.7,99.57,180.49,22.65,4.66,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,10.74,75.22,181.29,18.07,4.49,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,16.54,102.33,158.47,24.15,3.79,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,9.73,112.45,156.84,10.6,4.81,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,19.49,73.15,173.52,16.58,6.53,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,17.17,97.52,170.36,18.72,5.23,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,10.71,110.45,180.36,16.76,4.58,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,8.16,76.15,178.81,17.5,4.07,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,13.54,82.85,202.8,14.26,5.01,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,9.49,106.34,156.29,20.76,5.02,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,16.33,84.61,152.63,10.19,3.0,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,15.26,106.93,159.55,13.37,5.98,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,12.39,92.8,179.08,21.06,3.35,2,HIGH
DEMO DATA,flood_rain,28.0,88.0,43.84,1.1,16.24,119.01,215.36,13.98,3.49,2,HIGH
DEMO DATA,compound,36.09,80.68,50.13,2.056,6.01,47.2,113.16,11.52,3.55,2,HIGH
DEMO DATA,compound,38.04,83.45,53.28,2.342,12.56,41.69,104.92,17.68,4.65,2,HIGH
DEMO DATA,compound,38.98,71.64,50.47,2.244,8.5,65.69,122.37,10.24,2.18,2,HIGH
DEMO DATA,compound,38.39,83.8,53.8,2.0,11.26,45.65,110.16,10.99,4.5,2,HIGH
DEMO DATA,compound,38.39,73.8,50.51,1.959,7.28,43.66,108.33,13.25,2.49,2,HIGH
DEMO DATA,compound,37.7,82.38,52.54,2.044,6.88,73.05,129.22,14.38,5.91,2,HIGH
DEMO DATA,compound,38.94,80.01,53.18,2.1,6.16,43.54,107.31,8.77,3.25,2,HIGH
DEMO DATA,compound,38.16,79.48,52.12,2.017,11.61,55.13,105.71,15.36,3.77,2,HIGH
DEMO DATA,compound,38.31,76.48,51.3,1.821,6.53,73.39,126.2,9.3,2.2,2,HIGH
DEMO DATA,compound,37.69,77.85,51.03,2.394,14.73,43.8,112.21,17.95,2.06,2,HIGH
DEMO DATA,compound,39.34,70.03,50.35,2.108,5.83,41.0,133.93,12.05,3.85,2,HIGH
DEMO DATA,compound,38.11,70.13,48.96,1.803,14.49,60.97,111.19,14.02,2.12,2,HIGH
DEMO DATA,compound,37.48,74.79,49.78,2.025,14.37,69.91,91.97,13.99,5.6,2,HIGH
DEMO DATA,compound,36.17,70.96,47.02,1.934,14.77,44.52,93.04,17.19,5.37,2,HIGH
DEMO DATA,compound,36.97,75.88,49.56,2.206,11.27,73.09,121.2,13.7,2.61,2,HIGH
DEMO DATA,compound,37.41,84.25,52.83,1.909,13.49,59.09,107.05,8.16,4.54,2,HIGH
DEMO DATA,compound,39.21,77.4,52.63,2.113,6.93,76.13,131.44,14.91,4.25,2,HIGH
DEMO DATA,compound,38.41,82.62,53.44,1.929,7.63,75.73,134.54,17.8,4.09,2,HIGH
DEMO DATA,compound,37.78,78.46,51.33,1.86,7.18,48.03,98.74,14.64,5.9,2,HIGH
DEMO DATA,compound,37.06,77.13,50.08,2.36,11.69,49.89,137.77,11.59,5.48,2,HIGH
DEMO DATA,compound,36.0,73.39,47.62,2.032,9.02,47.14,123.67,16.15,4.78,2,HIGH
DEMO DATA,compound,39.73,73.42,51.92,2.332,9.25,48.04,93.67,10.24,5.72,2,HIGH
DEMO DATA,compound,38.29,84.9,54.05,2.186,13.95,78.45,102.34,13.87,3.37,2,HIGH
DEMO DATA,compound,38.61,76.51,51.65,2.419,9.48,70.72,90.15,15.29,5.72,2,HIGH
DEMO DATA,compound,39.62,72.96,51.64,1.925,8.25,69.96,131.32,11.13,4.41,2,HIGH
