data_kind,location,date,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,intensity,trend,label
DEMO DATA,Mumbai,2020-08-05,3.87,8.99,17.58,20.33,19.36,22.16,28.48,3.87,0.18,0
DEMO DATA,Mumbai,2020-09-06,0.04,0.1,0.16,0.29,12.62,17.99,19.71,0.04,0.55,0
DEMO DATA,Mumbai,2020-10-07,3.97,9.68,10.64,10.16,9.68,18.93,27.29,3.97,0.57,0
DEMO DATA,Mumbai,2020-11-08,0.09,0.2,0.36,0.6,4.89,14.69,24.6,0.09,0.56,0
DEMO DATA,Mumbai,2020-12-09,0.29,0.29,0.32,0.31,0.29,10.05,16.87,1.65,-0.95,0
DEMO DATA,Mumbai,2020-01-10,0.28,0.28,0.31,0.3,0.28,9.08,21.82,2.11,0.58,0
DEMO DATA,Mumbai,2020-02-11,1.55,3.73,6.09,5.81,5.54,12.81,25.14,1.55,-0.56,0
DEMO DATA,Mumbai,2020-03-12,1.89,4.67,7.74,9.57,9.11,18.62,20.61,1.89,-0.8,0
DEMO DATA,Mumbai,2020-04-13,2.51,5.67,10.63,13.16,12.53,12.67,23.8,2.51,-0.68,0
DEMO DATA,Mumbai,2020-05-14,35.48,103.84,164.9,187.51,178.58,186.6,233.29,35.48,0.77,1
DEMO DATA,Mumbai,2020-06-15,15.83,45.72,87.89,146.81,139.82,142.51,191.87,15.83,0.74,1
DEMO DATA,Mumbai,2020-07-16,26.37,63.81,79.91,76.28,72.64,96.45,115.82,26.37,2.7,1
DEMO DATA,Mumbai,2020-08-17,15.86,47.26,80.69,108.7,103.52,137.78,187.68,15.86,3.42,1
DEMO DATA,Mumbai,2020-09-18,28.37,77.71,136.48,178.71,170.2,209.79,241.85,28.37,6.89,1
DEMO DATA,Mumbai,2020-10-19,25.87,74.01,131.0,127.58,121.5,134.33,156.29,25.87,6.85,1
DEMO DATA,Mumbai,2020-11-20,19.27,55.32,84.77,80.92,77.06,90.48,115.89,19.27,2.26,1
DEMO DATA,Mumbai,2020-12-21,22.73,54.62,86.96,120.06,114.35,147.33,187.19,22.73,4.26,1
DEMO DATA,Mumbai,2020-01-22,33.93,98.98,118.18,112.81,107.44,116.37,120.47,33.93,-0.42,1
DEMO DATA,Mumbai,2020-02-23,36.27,100.8,153.41,146.44,139.46,164.99,169.69,36.27,6.21,1
DEMO DATA,Mumbai,2020-03-24,24.07,55.22,98.28,126.59,120.56,152.24,196.46,24.07,6.92,1
DEMO DATA,Mumbai,2020-04-25,17.42,50.95,77.5,102.2,97.33,118.63,156.26,17.42,2.71,1
DEMO DATA,Mumbai,2020-05-26,15.71,40.1,63.9,74.17,70.63,85.02,123.79,15.71,6.52,1
DEMO DATA,Mumbai,2020-06-27,21.29,59.26,105.67,141.31,134.58,153.68,160.11,21.29,6.08,1
DEMO DATA,Mumbai,2020-07-01,22.07,56.24,96.95,160.56,152.91,154.32,154.43,22.07,7.73,1
DEMO DATA,Kochi,2020-01-01,1.74,4.55,8.31,13.31,12.68,17.47,24.32,1.74,0.87,0
DEMO DATA,Kochi,2020-02-02,1.29,3.79,6.57,9.8,13.53,22.55,36.21,1.29,-0.1,0
DEMO DATA,Kochi,2020-03-03,1.4,3.17,3.49,3.33,3.17,6.63,16.48,1.4,0.88,0
DEMO DATA,Kochi,2020-04-04,1.37,1.54,1.7,1.62,1.54,8.42,12.02,1.37,0.79,0
DEMO DATA,Kochi,2020-05-05,2.41,6.85,11.3,16.84,16.03,19.11,26.8,2.41,0.41,0
DEMO DATA,Kochi,2020-06-06,0.69,1.88,3.99,5.93,11.77,14.9,20.5,0.69,-0.84,0
DEMO DATA,Kochi,2020-07-07,0.49,1.23,2.2,3.75,21.1,31.07,42.62,0.49,0.28,0
DEMO DATA,Kochi,2020-08-08,0.03,0.09,0.19,0.34,17.13,20.73,25.9,0.03,-0.01,0
DEMO DATA,Kochi,2020-09-09,2.57,6.42,9.68,13.74,15.56,24.64,25.23,2.57,0.53,0
DEMO DATA,Kochi,2020-10-10,3.49,10.4,16.29,15.55,14.81,17.72,20.71,3.49,-0.07,0
DEMO DATA,Kochi,2020-11-11,3.04,3.32,3.66,3.49,3.32,5.41,13.11,3.04,-0.59,0
DEMO DATA,Kochi,2020-12-12,0.88,2.06,3.84,6.68,8.6,18.16,21.74,0.88,0.28,0
DEMO DATA,Kochi,2020-01-13,1.8,4.38,7.35,11.89,16.5,17.0,28.55,1.8,-0.03,0
DEMO DATA,Kochi,2020-02-14,0.79,2.25,3.77,5.29,18.75,25.93,29.38,0.79,0.53,0
DEMO DATA,Kochi,2020-03-15,0.21,0.61,0.98,1.28,1.6,8.77,9.21,0.21,0.15,0
DEMO DATA,Kochi,2020-04-16,0.41,1.02,2.09,3.18,24.13,25.15,33.3,0.41,0.03,0
DEMO DATA,Kochi,2020-05-17,2.51,5.62,10.53,14.16,15.68,20.22,33.82,2.51,-0.78,0
DEMO DATA,Kochi,2020-06-18,0.3,0.79,1.37,2.28,13.42,18.16,25.88,0.3,0.92,0
DEMO DATA,Kochi,2020-07-19,3.49,4.03,4.44,4.24,4.03,12.72,26.66,3.49,-0.73,0
DEMO DATA,Kochi,2020-08-20,3.88,10.31,17.49,16.69,15.9,20.02,24.1,3.88,0.5,0
DEMO DATA,Kochi,2020-09-21,0.02,0.06,0.12,0.17,10.59,14.99,21.17,0.02,0.92,0
DEMO DATA,Kochi,2020-10-22,3.79,9.2,13.87,18.43,17.55,21.37,23.95,3.79,-0.3,0
DEMO DATA,Kochi,2020-11-23,0.45,1.03,1.63,2.9,22.55,24.05,37.73,0.45,0.8,0
DEMO DATA,Kochi,2020-12-24,0.67,1.97,4.3,6.47,14.17,15.04,18.37,0.67,-0.55,0
DEMO DATA,Kochi,2020-01-25,0.99,2.3,3.48,5.05,8.06,17.02,29.43,0.99,0.41,0
DEMO DATA,Kochi,2020-02-26,2.22,5.26,8.88,15.56,20.67,27.07,29.24,2.22,0.41,0
DEMO DATA,Kochi,2020-03-27,3.64,8.95,13.51,19.9,18.96,24.02,34.18,3.64,0.57,0
DEMO DATA,Kochi,2020-04-01,2.04,2.93,3.23,3.08,2.93,11.41,17.47,2.04,0.93,0
DEMO DATA,Kochi,2020-05-02,1.27,3.33,7.05,10.82,15.53,16.39,27.71,1.27,0.93,0
DEMO DATA,Kochi,2020-06-03,1.46,3.67,5.61,7.32,9.14,15.25,20.27,1.46,-0.66,0
DEMO DATA,Kochi,2020-07-04,3.73,8.5,15.76,17.16,16.34,17.43,26.69,3.73,0.28,0
DEMO DATA,Kochi,2020-08-05,0.51,1.4,2.1,2.74,20.75,23.94,32.71,0.51,-0.3,0
DEMO DATA,Kochi,2020-09-06,0.28,0.72,1.42,2.48,14.18,19.47,33.24,0.28,0.06,0
DEMO DATA,Kochi,2020-10-07,2.73,2.73,3.0,2.86,2.73,3.84,14.74,3.57,-0.84,0
DEMO DATA,Kochi,2020-11-08,2.14,6.13,7.56,7.22,6.87,15.25,17.01,2.14,-0.88,0
DEMO DATA,Kochi,2020-12-09,1.01,2.25,4.07,6.51,13.62,22.38,30.78,1.01,-0.19,0
DEMO DATA,Kochi,2020-01-10,3.19,7.69,15.44,21.06,24.19,33.98,48.76,3.19,0.85,0
DEMO DATA,Kochi,2020-02-11,2.08,4.91,8.09,7.72,7.35,14.71,18.31,2.08,0.39,0
DEMO DATA,Kochi,2020-03-12,1.18,1.18,1.3,1.24,1.18,4.37,7.69,1.33,0.72,0
DEMO DATA,Kochi,2020-04-13,3.13,5.1,5.61,5.36,5.1,10.22,13.18,3.13,0.41,0
DEMO DATA,Kochi,2020-05-14,30.66,78.81,86.69,82.75,78.81,79.48,102.69,30.66,3.57,1
DEMO DATA,Kochi,2020-06-15,25.27,60.01,121.82,169.59,161.52,165.13,202.08,25.27,-0.76,1
DEMO DATA,Kochi,2020-07-16,32.11,84.51,107.29,102.41,97.53,131.84,137.17,32.11,4.64,1
DEMO DATA,Kochi,2020-08-17,19.39,55.1,99.63,127.0,120.95,158.52,187.03,19.39,4.3,1
DEMO DATA,Kochi,2020-09-18,25.62,58.18,111.36,111.29,105.99,133.84,149.7,25.62,2.48,1
DEMO DATA,Kochi,2020-10-19,37.24,107.65,165.96,164.25,156.43,182.39,213.0,37.24,1.52,1
DEMO DATA,Kochi,2020-11-20,35.77,80.75,133.06,159.52,151.92,174.89,221.9,35.77,6.09,1
DEMO DATA,Kochi,2020-12-21,24.66,56.23,95.58,124.39,141.33,168.63,199.83,24.66,0.19,1
DEMO DATA,Kochi,2020-01-22,30.26,85.49,106.72,101.87,97.02,136.69,164.02,30.26,6.95,1
DEMO DATA,Kochi,2020-02-23,31.17,85.77,129.87,175.23,166.89,191.62,218.23,31.17,3.47,1
DEMO DATA,Kochi,2020-03-24,20.82,51.55,110.86,161.08,158.66,181.02,215.74,20.82,7.39,1
DEMO DATA,Kochi,2020-04-25,26.25,73.82,108.44,103.51,98.58,105.03,153.62,26.25,-0.46,1
DEMO DATA,Kochi,2020-05-26,39.56,70.88,77.97,74.43,70.88,89.19,124.88,39.56,-0.77,1
DEMO DATA,Kochi,2020-06-27,22.85,54.57,92.97,88.74,84.51,92.11,119.35,22.85,2.4,1
DEMO DATA,Kochi,2020-07-01,30.48,82.38,133.67,127.59,121.52,133.45,163.67,30.48,1.92,1
